Cliente;Placa;Ativo;Data;Data (GPRS);Velocidade (Km);Ignição;Motorista;GPS;Gprs;Localização;Endereço;Tipo do Evento;Cerca;Saida;Entrada;Pacote;Odômetro do período  (Km);Horímetro do período;Horímetro embarcado;Odômetro embarcado (Km);Bateria;Imagem;Tensão;Bloqueado
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 02:43:10;31/08/2025 02:44:18;0;D;-;1;1;-17.0356199,-50.1442866;Avenida Jasso Ferreira Caetano -  293 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;67.11;03:57:07;00:00:00;31910.74;16 %;;0.0;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 01:43:03;31/08/2025 01:44:11;0;D;-;1;1;-17.0356199,-50.1442866;Avenida Jasso Ferreira Caetano -  293 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;67.11;03:57:07;00:00:00;31910.74;35 %;;0.0;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 00:42:57;31/08/2025 00:43:07;0;D;-;1;1;-17.0356199,-50.1442866;Avenida Jasso Ferreira Caetano -  293 -  Jandaia - GO -  75950-000 -  Brasil;Cabo da Bateria Violado;-;X, X, X, X;X, X, X, X;-;67.11;03:57:07;00:00:00;31910.74;51 %;;1.0;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 00:18:54;31/08/2025 00:19:59;0;D;-;1;1;-17.0356199,-50.1442866;Avenida Jasso Ferreira Caetano -  293 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;67.11;03:57:07;00:00:00;31910.74;54 %;;12.9;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 00:12:57;31/08/2025 00:13:02;0;D;-;1;1;-17.0356199,-50.1442866;Avenida Jasso Ferreira Caetano -  293 -  Jandaia - GO -  75950-000 -  Brasil;Ignição desligada;-;X, X, X, X;X, X, X, X;-;67.11;03:57:07;00:00:00;31910.74;54 %;;12.9;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 00:12:09;31/08/2025 00:12:14;5;LM;-;1;1;-17.0354749,-50.14431;Avenida Jasso Ferreira Caetano -  306 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;67.09;03:56:19;00:00:00;31910.73;54 %;;13.5;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 00:11:09;31/08/2025 00:11:12;0;LP;-;0;1;-17.0360883,-50.144105;Avenida Jasso Ferreira Caetano -  210 -  Jandaia - GO -  75950-000 -  Brasil;Ignição ligada;-;X, X, X, X;0, X, X, X;-;67.09;03:55:19;00:00:00;31910.63;52 %;;11.6;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 00:11:08;31/08/2025 00:11:12;0;D;-;0;1;-17.0360883,-50.144105;Avenida Jasso Ferreira Caetano -  210 -  Jandaia - GO -  75950-000 -  Brasil;Cabo da Bateria Restaurado;-;X, X, X, X;0, X, X, X;-;67.09;03:55:19;00:00:00;31910.63;52 %;;11.9;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 00:11:06;31/08/2025 00:11:12;0;D;-;0;1;-17.0360883,-50.144105;Avenida Jasso Ferreira Caetano -  210 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;67.09;03:55:19;00:00:00;31910.63;41 %;;1.5;0
JANDAIA;TGF-3D93;TGF-3D93;31/08/2025 00:10:52;31/08/2025 00:11:03;0;D;-;1;1;-17.0360883,-50.144105;Avenida Jasso Ferreira Caetano -  210 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;67.09;03:55:19;00:00:00;31910.63;51 %;;0.0;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 23:09:36;30/08/2025 23:09:49;0;D;-;1;1;-17.0360883,-50.144105;Avenida Jasso Ferreira Caetano -  210 -  Jandaia - GO -  75950-000 -  Brasil;Cabo da Bateria Violado;-;X, X, X, X;X, X, X, X;-;67.09;03:55:19;00:00:00;31910.63;65 %;;10.1;0
JANDAIA;TGF-3D93;TGF-3D93;30/08/2025 22:46:16;30/08/2025 22:47:22;0;D;-;1;1;-17.0360883,-50.144105;Avenida Jasso Ferreira Caetano -  210 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;X, X, X, X;-;67.09;03:55:19;00:00:00;31910.63;77 %;;13.0;0
