Cliente;Placa;Ativo;Data;Data (GPRS);Velocidade (Km);Ignição;Motorista;GPS;Gprs;Localização;Endereço;Tipo do Evento;Cerca;Saida;Entrada;Pacote;Odômetro do período  (Km);Horímetro do período;Horímetro embarcado;Odômetro embarcado (Km);Bateria;Imagem;Tensão;Bloqueado
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 06:03:24;28/08/2025 06:26:32;55;LM;-;1;1;-17.064003,-50.210802;GO-333 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;247.19;09:17:33;50:09:40;255.97;100 %;;13.3;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 06:02:49;28/08/2025 06:26:32;51;LM;-;1;1;-17.061561,-50.205923;GO-333 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;246.6;09:16:58;50:09:04;255.36;100 %;;13.3;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 06:02:33;28/08/2025 06:26:32;55;LM;-;1;1;-17.059664,-50.206341;GO-333 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;246.39;09:16:42;50:08:48;255.12;100 %;;13.3;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 06:01:58;28/08/2025 06:26:32;61;LM;-;1;1;-17.055233,-50.203842;GO-333 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;245.83;09:16:07;50:08:14;254.54;100 %;;13.3;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 06:00:58;28/08/2025 06:26:32;60;LM;-;1;1;-17.052933,-50.197517;GO-333 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;245.11;09:15:07;50:07:14;253.8;100 %;;13.3;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:59:58;28/08/2025 06:26:32;56;LM;-;1;1;-17.047933,-50.191879;GO-333 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;244.29;09:14:07;50:06:14;252.94;100 %;;13.2;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:59:21;28/08/2025 06:26:32;55;LM;-;1;1;-17.046116,-50.185851;GO-333 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;243.62;09:13:30;50:05:36;252.24;100 %;;13.3;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:58:56;28/08/2025 05:58:58;54;LM;-;1;1;-17.049129,-50.183078;GO-333 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;243.17;09:13:05;50:05:12;251.8;100 %;;13.3;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:58:19;28/08/2025 05:58:21;43;LM;-;1;1;-17.049581,-50.176994;GO-333 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;242.52;09:12:28;50:04:34;251.12;100 %;;13.2;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:58:05;28/08/2025 05:58:06;12;LM;-;1;1;-17.049728,-50.17589;GO-333 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;242.41;09:12:14;50:04:20;251.02;100 %;;14.1;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:57:24;28/08/2025 05:57:26;0;LP;-;1;1;-17.049961,-50.175918;GO-333 -  Jandaia - GO -  75950-000 -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;242.38;09:11:33;50:03:40;250.99;100 %;;14.1;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:56:24;28/08/2025 05:56:26;27;LM;-;1;1;-17.051813,-50.178738;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;242.02;09:10:33;50:02:40;250.62;100 %;;13.3;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:55:55;28/08/2025 05:55:56;17;LM;-;1;1;-17.053821,-50.178456;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;241.79;09:10:04;50:02:10;250.38;100 %;;13.2;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:55:47;28/08/2025 05:55:50;31;LM;-;1;1;-17.054152,-50.178747;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;241.74;09:09:56;50:02:02;250.32;100 %;;13.2;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:55:43;28/08/2025 05:55:48;36;LM;-;1;1;-17.054391,-50.178959;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;241.71;09:09:52;50:01:58;250.29;100 %;;13.2;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:55:36;28/08/2025 05:55:38;35;LM;-;1;1;-17.05495,-50.178736;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;241.64;09:09:45;50:01:52;250.23;100 %;;13.2;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:55:10;28/08/2025 05:55:12;15;LM;-;1;1;-17.054451,-50.176548;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;241.4;09:09:19;50:01:26;249.99;100 %;;14.0;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:54:28;28/08/2025 05:54:30;0;LP;-;1;1;-17.054397,-50.176291;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;241.37;09:08:37;50:00:44;249.97;100 %;;14.1;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:53:28;28/08/2025 05:53:35;1;LM;-;1;1;-17.056008,-50.176472;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;241.19;09:07:37;49:59:44;249.79;100 %;;14.1;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:52:29;28/08/2025 05:52:30;24;LM;-;1;1;-17.057908,-50.176691;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;240.98;09:06:38;49:58:44;249.55;100 %;;13.2;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:51:29;28/08/2025 05:51:30;0;LP;-;1;1;-17.05884,-50.176768;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;240.88;09:05:38;49:57:44;249.46;100 %;;14.0;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:50:29;28/08/2025 05:50:30;26;LM;-;1;1;-17.061744,-50.177072;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;240.55;09:04:38;49:56:44;249.12;100 %;;13.3;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:50:27;28/08/2025 05:50:29;21;LM;-;1;1;-17.061881,-50.177082;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;240.54;09:04:36;49:56:42;249.1;100 %;;13.3;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:49:42;28/08/2025 05:49:44;1;LM;-;1;1;-17.061967,-50.176101;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;240.43;09:03:51;49:55:58;249;100 %;;13.9;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:48:42;28/08/2025 05:48:44;0;LP;-;1;1;-17.061976,-50.175367;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;240.35;09:02:51;49:54:58;248.93;100 %;;14.0;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:47:42;28/08/2025 05:47:44;0;LP;-;1;1;-17.061744,-50.175179;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;240.32;09:01:51;49:53:58;248.89;100 %;;12.1;0
JANDAIA;TGB-4F03;TGB-4F03;28/08/2025 05:46:43;28/08/2025 05:46:44;0;LP;-;1;1;-17.061744,-50.175179;Jandaia -  GO -  Brasil;Posição;-;X, X, X, X;0, X, X, X;-;240.32;09:00:52;49:52:58;248.89;100 %;;12.1;0
